account_number,account_name,account_type,debit,credit
1010,Cash,Asset,180000,0
1020,Accounts Receivable,Asset,40000,0
1500,Equipment,Asset,100000,0
1510,Accumulated Depreciation,Contra-Asset,0,20000
2010,Accounts Payable,Liability,0,30000
2500,Long-Term Debt,Liability,0,40000
3010,Common Stock,Equity,0,10000
3020,Retained Earnings - Beginning,Equity,0,120000
4010,Service Revenue,Revenue,0,250000
5010,Salaries Expense,Expense,100000,0
5020,Rent Expense,Expense,24000,0
5030,Depreciation Expense,Expense,10000,0
5040,Other Operating Expenses,Expense,16000,0
