account_number,account_name,account_type,debit,credit
1010,Cash,Asset,200000,0
1020,Accounts Receivable,Asset,60000,0
1030,Prepaid Expenses,Asset,12000,0
1500,Equipment,Asset,100000,0
1510,Accumulated Depreciation,Contra-Asset,0,30000
1540,Vehicles,Asset,40000,0
1550,Accumulated Depreciation - Vehicles,Contra-Asset,0,8000
2010,Accounts Payable,Liability,0,20000
2030,Line of Credit,Liability,0,5000
2500,Long-Term Debt,Liability,0,10000
3010,Common Stock,Equity,0,10000
3020,Retained Earnings - Beginning,Equity,0,220000
4010,Service Revenue,Revenue,0,320000
5010,Salaries Expense,Expense,130000,0
5020,Rent Expense,Expense,28000,0
5030,Depreciation Expense,Expense,10000,0
5040,Other Operating Expenses,Expense,20000,0
5050,Marketing Expense,Expense,15000,0
5060,Vehicle Depreciation Expense,Expense,8000,0
